gbifID,catalogNumber,institutionCode,cch2_occid,occurrenceID,locality,eventDate,scientificName,otherCatalogNumbers,image_source,source_dir,original_filename,original_stem,scoring_filename,id_check_status,id_check_notes,source_priority,selected_for_scoring
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2290218.jpg,2290218,SML_2290218.jpg,unmatched,no unified occurrence row for CCH2 occid=2290218,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2291266.jpg,2291266,SML_2291266.jpg,unmatched,no unified occurrence row for CCH2 occid=2291266,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2291878.jpg,2291878,SML_2291878.jpg,unmatched,no unified occurrence row for CCH2 occid=2291878,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2292239.jpg,2292239,SML_2292239.jpg,unmatched,no unified occurrence row for CCH2 occid=2292239,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2293307.jpg,2293307,SML_2293307.jpg,unmatched,no unified occurrence row for CCH2 occid=2293307,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2296541.jpg,2296541,SML_2296541.jpg,unmatched,no unified occurrence row for CCH2 occid=2296541,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2298121.jpg,2298121,SML_2298121.jpg,unmatched,no unified occurrence row for CCH2 occid=2298121,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2299319.jpg,2299319,SML_2299319.jpg,unmatched,no unified occurrence row for CCH2 occid=2299319,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2300919.jpg,2300919,SML_2300919.jpg,unmatched,no unified occurrence row for CCH2 occid=2300919,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2300993.jpg,2300993,SML_2300993.jpg,unmatched,no unified occurrence row for CCH2 occid=2300993,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2302311.jpg,2302311,SML_2302311.jpg,unmatched,no unified occurrence row for CCH2 occid=2302311,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2308947.jpg,2308947,SML_2308947.jpg,unmatched,no unified occurrence row for CCH2 occid=2308947,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2311023.jpg,2311023,SML_2311023.jpg,unmatched,no unified occurrence row for CCH2 occid=2311023,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2311342.jpg,2311342,SML_2311342.jpg,unmatched,no unified occurrence row for CCH2 occid=2311342,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2314219.jpg,2314219,SML_2314219.jpg,unmatched,no unified occurrence row for CCH2 occid=2314219,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2315373.jpg,2315373,SML_2315373.jpg,unmatched,no unified occurrence row for CCH2 occid=2315373,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2316628.jpg,2316628,SML_2316628.jpg,unmatched,no unified occurrence row for CCH2 occid=2316628,3,FALSE
