gbifID,catalogNumber,institutionCode,scientificName,image_url,dest_path,image_source
6250063479,105199028,MO,Raphanus raphanistrum L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/8CA4A21F-45B3-4433-AD68-C88E015FFC1A.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6250063479.jpg,gbif_fresh_download
6250045382,105197962,MO,Raphanus raphanistrum L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/C7FA9611-6550-4C27-ACDF-7F120B9846E2.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6250045382.jpg,gbif_fresh_download
6250034476,105200297,MO,Raphanus raphanistrum L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/C7367E5F-2BFF-468B-A06A-A8DBC275FEF3.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6250034476.jpg,gbif_fresh_download
6250030468,105208279,MO,Raphanus raphanistrum L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/1289E0C8-2142-47FD-B17D-E5961955E529.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6250030468.jpg,gbif_fresh_download
6250020380,105201513,MO,Raphanus sativus L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/E59BD831-11A0-4B65-A24D-519AD6A60A43.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6250020380.jpg,gbif_fresh_download
6249981412,105212045,MO,Raphanus raphanistrum L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/8FAF5FD4-6C51-4E78-99A6-CEDFC2C48B3E.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6249981412.jpg,gbif_fresh_download
6249963328,105204154,MO,Raphanus raphanistrum L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/B700C99F-29ED-424C-AA08-781A9B928010.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6249963328.jpg,gbif_fresh_download
6249958527,105210537,MO,Raphanus raphanistrum L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/684C7C22-603B-4E83-BE5C-53D2EAA11638.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6249958527.jpg,gbif_fresh_download
6249945408,105187943,MO,Raphanus raphanistrum L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/4DC369E6-F295-49EA-BAE9-A57AFD1C7BDE.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6249945408.jpg,gbif_fresh_download
6249935462,105210913,MO,Raphanus raphanistrum L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/C3FE09AE-1C56-43AD-A5FE-5E04FBA0A3A0.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6249935462.jpg,gbif_fresh_download
