gbifID,image_source,original_filename,scoring_filename,from_path,to_path,copied,copy_note
2270265888,cch2_original,304544.jpg,2270265888.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304544.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270265888.jpg,TRUE,copied
2270266533,cch2_original,304545.jpg,2270266533.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304545.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270266533.jpg,TRUE,copied
2270264086,cch2_original,304547.jpg,2270264086.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304547.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270264086.jpg,TRUE,copied
2270262548,cch2_original,304548.jpg,2270262548.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304548.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270262548.jpg,TRUE,copied
2270264531,cch2_original,304550.jpg,2270264531.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304550.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270264531.jpg,TRUE,copied
2270264146,cch2_original,304551.jpg,2270264146.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304551.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270264146.jpg,TRUE,copied
2270264254,cch2_original,304552.jpg,2270264254.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304552.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270264254.jpg,TRUE,copied
2270263733,cch2_original,304553.jpg,2270263733.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304553.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270263733.jpg,TRUE,copied
2270264977,cch2_original,304556.jpg,2270264977.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304556.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270264977.jpg,TRUE,copied
2270262984,cch2_original,304558.jpg,2270262984.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304558.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270262984.jpg,TRUE,copied
2270263094,cch2_original,304560.jpg,2270263094.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304560.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270263094.jpg,TRUE,copied
2270265187,cch2_original,304561.jpg,2270265187.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304561.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270265187.jpg,TRUE,copied
2270264027,cch2_original,304562.jpg,2270264027.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304562.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270264027.jpg,TRUE,copied
2270266806,cch2_original,304563.jpg,2270266806.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304563.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270266806.jpg,TRUE,copied
2270263166,cch2_original,304565.jpg,2270263166.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304565.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270263166.jpg,TRUE,copied
2270264652,cch2_original,304567.jpg,2270264652.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304567.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270264652.jpg,TRUE,copied
2270264926,cch2_original,304568.jpg,2270264926.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304568.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270264926.jpg,TRUE,copied
